,batting_team,bowling_team,current_score,wickets_left,crr,city,balls_left,last_five,target
19198,Australia,South Africa,49,8,6.84,Johannesburg,77,38.0,167
50346,Australia,Sri Lanka,183,8,11.81,Pallekele,27,65.0,264
43105,South Africa,Australia,21,10,6.0,Sydney,99,21.0,146
42753,New Zealand,Pakistan,47,10,7.23,Dubai,81,44.0,145
23494,West Indies,Australia,14,10,6.0,Sydney,106,14.0,139
20465,Sri Lanka,West Indies,118,10,10.11,Nottingham,50,44.0,193
38362,New Zealand,West Indies,32,10,10.11,Auckland,101,32.0,190
8400,Pakistan,Australia,79,9,7.52,Abu Dhabi,57,36.0,156
26851,Pakistan,New Zealand,64,8,7.25,Dubai,67,44.0,162
24683,South Africa,New Zealand,131,7,7.86,Barbados,20,53.0,171
15970,New Zealand,Sri Lanka,86,8,8.32,Johannesburg,58,53.0,165
41047,Sri Lanka,West Indies,121,6,7.19,Mirpur,19,37.0,161
14630,South Africa,Australia,114,9,8.55,Johannesburg,40,47.0,202
42178,Pakistan,Australia,92,1,4.88,Dubai,7,31.0,97
16241,New Zealand,India,109,5,7.6,Johannesburg,34,38.0,191
49392,England,West Indies,101,6,7.87,Kolkata,43,55.0,156
8384,Pakistan,Australia,55,9,7.02,Abu Dhabi,73,29.0,156
50389,Sri Lanka,Australia,14,9,6.0,Colombo,106,14.0,129
18324,Australia,India,89,8,7.85,Mumbai,52,30.0,167
11596,India,West Indies,8,10,4.0,Lauderhill,108,8.0,168
34774,West Indies,New Zealand,22,9,13.2,Lauderhill,110,22.0,178
2016,New Zealand,England,41,9,8.2,Wellington,90,41.0,197
43278,England,South Africa,80,6,6.67,Cape Town,48,27.0,135
48096,India,Bangladesh,9,10,4.5,Bangalore,108,9.0,147
27517,England,Pakistan,107,9,6.83,Dubai,26,38.0,149
21848,Sri Lanka,West Indies,113,7,6.92,London,22,36.0,159
37678,England,West Indies,4,10,6.0,Barbados,116,4.0,166
1182,West Indies,India,166,9,14.65,Lauderhill,52,76.0,246
16721,New Zealand,England,64,6,6.1,Durban,57,34.0,165
26620,New Zealand,Australia,89,6,7.85,Christchurch,52,27.0,215
14638,South Africa,Australia,130,9,8.97,Johannesburg,33,48.0,202
20132,England,Pakistan,160,5,9.06,London,14,38.0,186
12929,Bangladesh,Pakistan,1,10,2.0,Lahore,117,1.0,137
49331,England,West Indies,9,8,3.38,Kolkata,104,9.0,156
13164,Australia,India,169,6,9.39,Sydney,12,46.0,195
25545,Pakistan,South Africa,110,6,7.25,St Lucia,29,54.0,149
16919,Sri Lanka,Bangladesh,15,9,5.29,Johannesburg,103,15.0,148
17789,India,Australia,7,10,4.67,Durban,111,7.0,189
17642,India,South Africa,131,6,7.28,Durban,12,52.0,154
2142,New Zealand,Australia,46,10,10.22,Auckland,93,46.0,244
34233,Pakistan,Bangladesh,109,5,6.96,Mirpur,26,36.0,136
29680,Australia,India,57,9,8.34,Sydney,79,48.0,172
18707,England,New Zealand,117,6,8.89,Auckland,41,41.0,185
7796,Bangladesh,West Indies,134,6,9.03,Lauderhill,31,36.0,185
19472,Australia,South Africa,115,8,10.15,Melbourne,52,42.0,183
500,South Africa,New Zealand,5,10,6.0,Auckland,115,5.0,186
49032,Sri Lanka,South Africa,94,4,6.56,Delhi,34,19.0,121
4063,Pakistan,New Zealand,103,8,8.96,Auckland,51,44.0,202
47382,Pakistan,India,20,10,4.62,Kolkata,94,20.0,119
42034,South Africa,West Indies,194,6,12.12,Johannesburg,24,63.0,232
5177,India,South Africa,97,6,8.08,Centurion,48,44.0,189
15062,South Africa,India,24,9,5.33,Johannesburg,93,24.0,127
22936,Australia,Pakistan,80,5,6.86,Dubai,50,21.0,109
9092,West Indies,India,22,8,6.95,Kolkata,101,22.0,110
14716,Australia,England,85,9,11.86,Sydney,77,65.0,222
14202,South Africa,New Zealand,34,10,8.16,Johannesburg,95,34.0,134
43147,South Africa,Australia,88,9,8.52,Sydney,58,44.0,146
29765,Australia,India,3,10,3.6,Melbourne,115,3.0,132
49359,England,West Indies,44,7,6.0,Kolkata,76,35.0,156
40563,India,Australia,151,5,8.02,Mirpur,7,56.0,160
32063,Bangladesh,Pakistan,118,8,9.08,Pallekele,42,44.0,176
44886,India,Australia,101,9,8.91,Melbourne,52,47.0,185
16147,Bangladesh,South Africa,134,1,7.12,Cape Town,7,26.0,145
1965,England,Australia,104,6,6.12,Melbourne,18,32.0,138
40793,Bangladesh,Australia,123,8,7.61,Mirpur,23,41.0,154
10173,India,Bangladesh,11,9,6.6,Delhi,110,11.0,149
383,New Zealand,Bangladesh,11,10,6.6,Mount Maunganui,110,11.0,195
39930,Sri Lanka,England,171,6,9.24,Chittagong,9,48.0,190
27316,Pakistan,England,8,10,2.82,Dubai,103,8.0,130
25084,England,South Africa,4,9,4.8,Barbados,115,4.0,169
25442,Australia,Sri Lanka,145,5,7.77,Barbados,8,60.0,169
28604,Pakistan,New Zealand,116,6,7.73,Christchurch,30,30.0,184
33033,Pakistan,India,63,5,6.0,Colombo,57,24.0,129
13313,West Indies,New Zealand,8,10,6.86,Auckland,113,8.0,181
11129,India,New Zealand,73,10,10.68,Hamilton,79,58.0,180
43279,England,South Africa,81,6,6.66,Cape Town,47,28.0,135
41367,South Africa,Pakistan,75,9,8.82,Johannesburg,69,35.0,154
49996,Pakistan,Bangladesh,55,6,4.18,Mirpur,41,27.0,130
41743,Bangladesh,Sri Lanka,56,5,5.89,Chittagong,63,18.0,121
30907,England,Pakistan,57,7,7.43,Dubai,74,41.0,151
21554,South Africa,India,57,9,7.12,Nottingham,72,30.0,131
1980,England,Australia,129,5,6.79,Melbourne,6,44.0,138
39264,Sri Lanka,South Africa,97,7,7.76,Chittagong,45,29.0,166
7099,South Africa,Sri Lanka,9,10,3.86,Johannesburg,106,9.0,199
22309,New Zealand,West Indies,121,10,11.17,Hamilton,55,65.0,192
1558,Pakistan,West Indies,83,8,7.22,Dubai,51,40.0,161
12700,Sri Lanka,Pakistan,28,8,7.0,Lahore,96,28.0,148
49929,Pakistan,Bangladesh,8,9,4.0,Mirpur,108,8.0,130
32847,South Africa,Australia,2,9,1.71,Colombo,113,2.0,147
30508,West Indies,England,14,10,4.94,London,103,14.0,114
26482,New Zealand,Australia,41,7,4.73,Wellington,68,32.0,119
17994,India,Pakistan,110,7,7.42,Johannesburg,31,41.0,158
29715,Australia,India,94,8,7.52,Sydney,45,29.0,172
30247,South Africa,New Zealand,161,3,8.19,Auckland,2,29.0,166
44286,Sri Lanka,Pakistan,110,5,7.67,Colombo,34,46.0,173
48862,Afghanistan,West Indies,35,8,5.38,Nagpur,81,28.0,124
45917,Pakistan,New Zealand,164,4,8.86,Auckland,9,65.0,172
29633,Sri Lanka,Australia,150,2,7.69,Pallekele,3,28.0,158
28424,New Zealand,Pakistan,43,9,7.82,Hamilton,87,43.0,186
30800,Pakistan,England,73,7,7.3,Dubai,60,27.0,145
34275,West Indies,Australia,15,10,6.92,St Lucia,107,15.0,151
33537,India,South Africa,84,6,6.81,Colombo,46,38.0,153
48214,Australia,Pakistan,10,10,6.0,Chandigarh,110,10.0,194
5753,Sri Lanka,Bangladesh,30,10,10.0,Colombo,102,30.0,215
42173,Pakistan,Australia,85,2,4.68,Dubai,11,27.0,97
45327,Sri Lanka,England,13,10,5.57,Southampton,106,13.0,141
37879,South Africa,Australia,34,8,5.67,Centurion,84,32.0,129
4617,India,New Zealand,202,7,10.1,Delhi,0,62.0,203
49366,England,West Indies,49,7,5.76,Kolkata,69,35.0,156
19996,India,Bangladesh,139,8,8.34,Nottingham,20,47.0,181
37579,England,West Indies,25,8,5.77,Barbados,94,25.0,153
34306,West Indies,Australia,46,8,6.42,St Lucia,77,27.0,151
34510,South Africa,India,4,10,8.0,Johannesburg,117,4.0,220
8721,Pakistan,New Zealand,9,9,3.38,Abu Dhabi,104,9.0,149
25212,West Indies,India,4,10,3.43,Barbados,113,4.0,170
28708,India,England,104,8,8.79,Manchester,49,50.0,166
6715,Pakistan,South Africa,9,10,6.0,Centurion,111,9.0,169
27894,New Zealand,Sri Lanka,99,4,5.71,Lauderhill,16,29.0,121
9703,South Africa,England,87,8,10.44,Centurion,70,47.0,223
9158,West Indies,India,57,4,4.12,Kolkata,37,11.0,110
48162,India,Bangladesh,84,8,6.46,Bangalore,42,35.0,147
14990,Sri Lanka,New Zealand,61,4,5.3,Auckland,51,18.0,116
39107,Pakistan,India,44,9,6.0,Mirpur,76,34.0,131
11658,India,West Indies,95,9,8.26,Lauderhill,51,35.0,168
2135,New Zealand,Australia,37,10,11.1,Auckland,100,37.0,244
18624,West Indies,South Africa,124,3,6.41,Johannesburg,4,45.0,132
23089,Bangladesh,West Indies,96,2,5.82,St Kitts,21,25.0,119
31577,England,Afghanistan,130,8,8.21,Colombo,25,51.0,197
15594,West Indies,Bangladesh,61,9,6.65,Johannesburg,65,37.0,165
5216,India,South Africa,163,6,8.81,Centurion,9,49.0,189
3776,New Zealand,West Indies,50,10,11.54,Mount Maunganui,94,50.0,244
3325,Afghanistan,West Indies,64,2,4.17,St Kitts,28,19.0,111
6258,Bangladesh,India,27,8,6.23,Colombo,94,27.0,167
11245,India,New Zealand,50,8,9.68,Wellington,89,45.0,166
45206,England,Pakistan,23,10,7.26,Dubai,101,23.0,173
16690,New Zealand,England,30,7,5.62,Durban,88,23.0,165
48403,South Africa,West Indies,74,5,6.08,Nagpur,47,29.0,123
49135,New Zealand,England,92,8,8.36,Delhi,54,40.0,154
5931,Sri Lanka,India,96,7,9.0,Colombo,56,43.0,153
18817,England,New Zealand,90,6,8.06,Christchurch,53,23.0,194
47670,Sri Lanka,West Indies,71,5,5.32,Bangalore,40,24.0,123
44175,Pakistan,Sri Lanka,133,7,8.23,Colombo,23,49.0,176
42634,England,Australia,37,8,5.16,Cardiff,77,26.0,183
46432,South Africa,Sri Lanka,8,10,9.6,Centurion,115,8.0,127
47811,Bangladesh,Australia,108,5,6.75,Bangalore,24,40.0,157
8430,Pakistan,Australia,122,7,7.87,Abu Dhabi,27,43.0,156
41626,Sri Lanka,Bangladesh,90,6,8.57,Chittagong,57,34.0,169
45538,England,Pakistan,112,4,6.79,Manchester,21,24.0,136
1388,West Indies,Pakistan,22,6,5.08,Dubai,94,22.0,116
18615,West Indies,South Africa,102,3,5.67,Johannesburg,12,39.0,132
30060,New Zealand,South Africa,74,9,7.93,Hamilton,64,37.0,174
1900,England,Australia,45,7,7.11,Melbourne,82,32.0,138
534,South Africa,New Zealand,57,9,9.0,Auckland,82,44.0,186
49719,Bangladesh,Sri Lanka,53,7,6.36,Mirpur,70,37.0,148
22376,India,New Zealand,20,10,13.33,Christchurch,111,20.0,163
13487,New Zealand,West Indies,113,8,9.42,Mount Maunganui,48,55.0,239
44185,Pakistan,Sri Lanka,152,7,8.52,Colombo,13,56.0,176
223,Australia,Sri Lanka,145,8,9.16,Adelaide,25,46.0,188
22507,Sri Lanka,India,20,10,7.5,Colombo,104,20.0,172
9451,Pakistan,Australia,10,9,6.0,Sydney,110,10.0,108
16462,South Africa,England,56,7,6.22,Cape Town,66,23.0,155
21089,New Zealand,Pakistan,67,6,5.74,London,50,28.0,100
30777,Pakistan,England,49,9,7.95,Dubai,83,41.0,145
21154,England,India,21,9,6.0,London,99,21.0,154
135,Australia,Sri Lanka,13,10,7.09,Adelaide,109,13.0,188
11303,India,New Zealand,110,4,7.42,Wellington,31,30.0,166
5425,Sri Lanka,India,72,5,6.17,Mumbai,50,27.0,136
11974,England,Australia,12,9,4.0,Southampton,102,12.0,146
15366,West Indies,England,114,7,8.66,London,41,56.0,170
33239,Sri Lanka,England,33,10,8.25,Pallekele,96,33.0,170
13855,South Africa,England,77,9,8.56,Cape Town,66,51.0,180
8761,Pakistan,New Zealand,58,8,6.21,Abu Dhabi,64,39.0,149
19723,England,West Indies,92,6,7.56,Trinidad,47,37.0,122
29191,South Africa,Australia,55,8,6.35,Cape Town,68,43.0,147
25278,West Indies,India,80,9,6.67,Barbados,48,42.0,170
33996,West Indies,England,31,7,4.65,Nottingham,80,25.0,173
21259,England,West Indies,0,10,0.0,London,119,0.0,162
3444,West Indies,Afghanistan,109,7,7.43,St Kitts,32,33.0,113
5266,India,South Africa,59,9,9.08,Cape Town,81,39.0,173
28667,India,England,40,9,8.0,Manchester,90,39.0,166
46575,South Africa,Sri Lanka,79,3,5.92,Johannesburg,40,22.0,114
39155,Pakistan,India,97,7,6.4,Mirpur,29,41.0,131
16458,South Africa,England,55,7,6.6,Cape Town,70,28.0,155
44076,Pakistan,Sri Lanka,4,10,4.8,Colombo,115,4.0,176
6306,Bangladesh,India,82,6,6.74,Colombo,47,36.0,167
34494,West Indies,Australia,153,4,8.74,Barbados,15,32.0,161
36216,Pakistan,Australia,128,7,7.38,Dubai,16,39.0,152
25341,Australia,Sri Lanka,15,9,6.92,Barbados,107,15.0,169
34167,Pakistan,Bangladesh,44,9,8.8,Mirpur,90,39.0,136
41652,Sri Lanka,Bangladesh,120,4,8.28,Chittagong,33,33.0,169
30133,South Africa,New Zealand,6,10,6.0,Auckland,114,6.0,166
36501,Sri Lanka,Australia,20,9,5.22,Melbourne,97,20.0,162
24111,Australia,Pakistan,37,10,8.88,St Lucia,95,37.0,192
47442,Pakistan,India,83,7,5.86,Kolkata,35,37.0,119
31741,Pakistan,New Zealand,9,10,4.5,Pallekele,108,9.0,178
33258,Sri Lanka,England,53,9,7.57,Pallekele,78,40.0,170
25704,India,Sri Lanka,9,10,7.71,St Lucia,113,9.0,164
9128,West Indies,India,46,7,5.21,Kolkata,67,23.0,110
20209,Australia,Sri Lanka,71,7,6.98,Nottingham,59,24.0,160
6101,India,Bangladesh,172,8,8.97,Colombo,5,66.0,177
15708,England,Australia,49,7,6.26,Cape Town,73,32.0,136
35946,New Zealand,England,87,7,6.87,Wellington,44,40.0,140
50226,Bangladesh,India,71,7,6.45,Mirpur,54,36.0,121
27618,Australia,England,96,8,7.89,Adelaide,47,40.0,158
23356,New Zealand,Sri Lanka,141,2,7.05,Colombo,0,33.0,142
35558,Pakistan,South Africa,90,9,9.64,Centurion,64,55.0,196
34511,South Africa,India,5,10,7.5,Johannesburg,116,5.0,220
14965,Sri Lanka,New Zealand,45,6,6.0,Auckland,75,21.0,116
7831,Bangladesh,West Indies,182,5,9.1,Lauderhill,0,43.0,185
43751,New Zealand,South Africa,69,9,8.28,Durban,70,45.0,152
46235,Sri Lanka,West Indies,90,10,9.64,Pallekele,64,42.0,216
43376,England,South Africa,60,9,8.0,Johannesburg,75,50.0,172
39687,South Africa,New Zealand,164,4,8.34,Chittagong,2,65.0,171
44495,South Africa,Australia,79,8,9.29,Johannesburg,69,52.0,205
32455,South Africa,Pakistan,104,6,6.12,Colombo,18,39.0,134
41098,South Africa,India,43,9,8.9,Mirpur,91,43.0,173
49100,New Zealand,England,47,9,8.55,Delhi,87,37.0,154
21778,Sri Lanka,West Indies,32,10,6.62,London,91,32.0,159
23427,New Zealand,Sri Lanka,94,9,8.17,Colombo,51,42.0,171
31232,India,Afghanistan,4,10,12.0,Colombo,118,4.0,160
38797,New Zealand,Bangladesh,137,8,9.67,Mirpur,35,54.0,205
25540,Pakistan,South Africa,104,6,7.26,St Lucia,34,56.0,149
45565,New Zealand,Sri Lanka,14,10,14.0,Mount Maunganui,114,14.0,183
18490,New Zealand,South Africa,111,3,6.17,Johannesburg,12,30.0,130
45748,Sri Lanka,New Zealand,68,5,6.09,Auckland,53,31.0,143
16132,Bangladesh,South Africa,122,3,7.47,Cape Town,22,20.0,145
29521,Sri Lanka,Australia,3,10,2.57,Pallekele,113,3.0,158
20385,South Africa,New Zealand,121,3,6.42,London,7,44.0,129
25361,Australia,Sri Lanka,31,6,6.0,Barbados,89,29.0,169
6263,Bangladesh,India,34,7,6.58,Colombo,89,33.0,167
38419,New Zealand,West Indies,103,6,8.35,Auckland,46,43.0,190
22716,England,South Africa,159,7,9.94,Johannesburg,24,62.0,203
34548,South Africa,India,59,9,9.08,Johannesburg,81,37.0,220
3990,Pakistan,New Zealand,93,1,4.89,Wellington,6,39.0,106
16692,New Zealand,England,31,7,5.47,Durban,86,24.0,165
27595,Australia,England,81,10,9.72,Adelaide,70,61.0,158
27481,England,Pakistan,64,9,6.51,Dubai,61,38.0,149
15419,West Indies,South Africa,14,10,7.0,Johannesburg,108,14.0,206
20434,Sri Lanka,West Indies,73,10,10.95,Nottingham,80,52.0,193
46825,New Zealand,India,83,6,5.72,Nagpur,33,28.0,127
15382,West Indies,England,144,6,9.09,London,25,55.0,170
14953,Sri Lanka,New Zealand,32,7,5.82,Auckland,87,23.0,116
41679,Sri Lanka,Bangladesh,155,4,8.23,Chittagong,7,36.0,169
8935,New Zealand,Pakistan,125,5,7.21,Dubai,16,43.0,154
41318,South Africa,Pakistan,5,10,7.5,Johannesburg,116,5.0,154
17979,India,Pakistan,91,8,7.38,Johannesburg,46,42.0,158
39016,Afghanistan,Bangladesh,50,5,5.17,Mirpur,62,18.0,73
11807,England,Australia,122,5,7.62,Southampton,24,36.0,163
7464,Bangladesh,West Indies,7,8,6.0,St Kitts,113,7.0,144
50063,Sri Lanka,Pakistan,21,10,4.85,Mirpur,94,21.0,151
16789,Australia,Pakistan,8,9,4.8,Johannesburg,110,8.0,165
32709,New Zealand,England,126,5,6.87,Pallekele,10,49.0,149
25783,India,Sri Lanka,117,8,8.56,St Lucia,38,38.0,164
31437,New Zealand,Bangladesh,104,9,8.21,Pallekele,44,55.0,192
9247,Australia,Sri Lanka,81,10,9.72,Adelaide,70,55.0,234
36271,Australia,Pakistan,47,10,7.23,Dubai,81,40.0,169
21962,Sri Lanka,Pakistan,79,4,5.27,London,30,25.0,139
8276,New Zealand,Sri Lanka,58,5,5.19,Auckland,53,25.0,180
25100,England,South Africa,30,9,9.47,Barbados,101,30.0,169
22647,England,South Africa,41,8,8.48,Johannesburg,91,40.0,203
35185,New Zealand,England,76,9,9.7,London,73,42.0,202
11316,India,New Zealand,135,3,8.1,Wellington,20,47.0,166
1595,Pakistan,West Indies,134,7,7.81,Dubai,17,47.0,161
49079,New Zealand,England,17,9,7.85,Delhi,107,17.0,154
17987,India,Pakistan,104,7,7.61,Johannesburg,38,47.0,158
14549,South Africa,Australia,0,10,0.0,Johannesburg,118,0.0,202
26093,Pakistan,Australia,14,10,4.2,St Lucia,100,14.0,192
21739,Pakistan,South Africa,139,6,7.58,Nottingham,10,39.0,150
19119,South Africa,Bangladesh,78,7,9.18,Johannesburg,69,43.0,119
30898,England,Pakistan,47,8,7.62,Dubai,83,40.0,151
38606,Sri Lanka,England,24,9,8.47,London,103,24.0,184
45979,Pakistan,New Zealand,51,8,6.0,Hamilton,69,24.0,169
32080,Bangladesh,Pakistan,135,6,8.62,Pallekele,26,33.0,176
6733,Pakistan,South Africa,46,9,10.62,Centurion,94,46.0,169
29605,Sri Lanka,Australia,123,5,8.2,Pallekele,30,33.0,158
6213,Sri Lanka,Bangladesh,128,5,7.46,Colombo,17,58.0,160
45189,England,Pakistan,2,10,4.0,Dubai,117,2.0,173
15291,West Indies,England,8,10,6.0,London,112,8.0,170
22881,Australia,Pakistan,25,10,9.38,Dubai,104,25.0,109
11041,New Zealand,India,81,6,6.48,Auckland,45,20.0,133
35822,New Zealand,England,107,8,8.68,Hamilton,46,45.0,193
10886,New Zealand,India,73,10,10.68,Auckland,79,53.0,204
16508,South Africa,England,106,4,6.42,Cape Town,21,23.0,155
39361,Pakistan,Australia,56,8,6.86,Mirpur,71,40.0,192
13124,Australia,India,103,8,8.96,Sydney,51,37.0,195
4111,Pakistan,New Zealand,181,8,9.78,Auckland,9,55.0,202
1065,India,England,108,8,8.53,Bangalore,44,41.0,203
45048,Australia,India,169,6,9.75,Sydney,16,57.0,198
8244,New Zealand,Sri Lanka,32,6,5.33,Auckland,84,21.0,180
37204,England,Australia,24,9,7.2,Melbourne,100,24.0,131
33411,Pakistan,Australia,79,8,6.68,Colombo,49,43.0,150
8847,New Zealand,Pakistan,29,10,9.16,Dubai,101,29.0,154
30996,England,Pakistan,13,10,6.0,Abu Dhabi,107,13.0,130
7469,Bangladesh,West Indies,8,8,4.0,St Kitts,108,8.0,144
3193,West Indies,Pakistan,75,5,5.49,Trinidad,38,22.0,125
40434,Pakistan,Bangladesh,175,6,9.38,Mirpur,8,52.0,191
24751,Australia,India,71,10,8.88,Barbados,72,55.0,185
1471,West Indies,Pakistan,99,2,5.71,Dubai,16,43.0,116
9281,Australia,Sri Lanka,164,9,11.86,Adelaide,37,77.0,234
2249,England,New Zealand,12,10,10.29,Hamilton,113,12.0,195
4426,India,England,48,7,5.24,Cardiff,65,26.0,149
15109,South Africa,India,64,5,5.26,Johannesburg,47,30.0,127
46797,New Zealand,India,56,7,5.42,Nagpur,58,24.0,127
6892,Sri Lanka,South Africa,64,7,6.51,Cape Town,61,25.0,135
35560,Pakistan,South Africa,97,9,10.03,Centurion,62,62.0,196
29629,Sri Lanka,Australia,144,3,7.65,Pallekele,7,23.0,158
38342,Sri Lanka,Pakistan,210,8,10.59,Dubai,1,62.0,212
25816,India,Sri Lanka,152,6,8.14,St Lucia,8,32.0,164
31350,India,Afghanistan,139,6,7.32,Colombo,6,33.0,160
43932,New Zealand,South Africa,151,5,8.55,Centurion,14,38.0,178
12301,Pakistan,England,194,6,9.78,Manchester,1,61.0,196
30682,Sri Lanka,Pakistan,92,7,9.05,Abu Dhabi,59,31.0,142
4907,Pakistan,Sri Lanka,65,9,7.22,Lahore,66,36.0,181
38109,Sri Lanka,Pakistan,14,9,4.42,Dubai,101,14.0,146
40647,Sri Lanka,New Zealand,73,6,6.08,Chittagong,48,30.0,120
36570,Sri Lanka,Australia,101,7,6.73,Melbourne,30,45.0,162
46320,West Indies,Sri Lanka,14,10,4.94,Colombo,103,14.0,163
44984,Australia,India,68,9,9.27,Sydney,76,51.0,198
40819,Bangladesh,Australia,151,6,7.68,Mirpur,2,32.0,154
13362,West Indies,New Zealand,89,5,10.27,Auckland,68,31.0,181
6478,South Africa,Pakistan,26,9,7.43,Cape Town,99,26.0,193
44223,Sri Lanka,Pakistan,32,8,8.0,Colombo,96,32.0,173
3796,New Zealand,West Indies,78,10,10.17,Mount Maunganui,74,50.0,244
22731,England,South Africa,170,4,9.19,Johannesburg,9,41.0,203
29426,Sri Lanka,Australia,46,8,7.46,Pallekele,83,39.0,199
27818,New Zealand,Sri Lanka,32,8,6.4,Lauderhill,90,32.0,121
16984,Sri Lanka,Bangladesh,88,6,6.52,Johannesburg,39,35.0,148
16579,Pakistan,Sri Lanka,46,7,5.87,Johannesburg,73,24.0,190
44147,Pakistan,Sri Lanka,86,7,7.07,Colombo,47,35.0,176
10369,India,Bangladesh,109,7,7.79,Nagpur,36,50.0,175
47667,Sri Lanka,West Indies,66,5,5.14,Bangalore,43,19.0,123
17248,India,England,136,10,9.38,Durban,33,47.0,219
4903,Pakistan,Sri Lanka,59,9,7.08,Lahore,70,35.0,181
4,Australia,Sri Lanka,3,10,3.6,Melbourne,115,3.0,169
22824,South Africa,England,171,9,12.82,Centurion,40,63.0,242
36294,Australia,Pakistan,104,10,10.4,Dubai,60,62.0,169
7244,Australia,India,36,7,6.35,Melbourne,86,34.0,133
26934,Pakistan,New Zealand,14,10,5.6,Dubai,105,14.0,154
44910,India,Australia,139,9,9.07,Melbourne,28,45.0,185
41790,Bangladesh,Sri Lanka,100,3,5.88,Chittagong,18,30.0,121
40328,Pakistan,Bangladesh,11,10,6.6,Mirpur,110,11.0,191
35924,New Zealand,England,60,9,6.67,Wellington,66,42.0,140
24873,Sri Lanka,West Indies,58,9,7.4,Barbados,73,47.0,196
5974,Sri Lanka,India,139,4,7.94,Colombo,15,23.0,153
1663,West Indies,Pakistan,33,6,3.88,Abu Dhabi,69,19.0,104
33532,India,South Africa,75,6,6.43,Colombo,50,36.0,153
28176,India,South Africa,50,9,9.38,Durban,88,49.0,169
4454,India,England,87,6,6.37,Cardiff,38,40.0,149
38591,Sri Lanka,England,5,10,15.0,London,118,5.0,184
36090,Australia,Pakistan,75,4,4.64,Dubai,23,21.0,90
12139,England,Pakistan,79,8,7.9,Manchester,60,53.0,132
20605,England,South Africa,84,4,5.93,Nottingham,35,41.0,112
37793,England,West Indies,147,4,7.6,Barbados,4,30.0,166
11795,England,Australia,109,5,7.79,Southampton,36,39.0,163
28336,Pakistan,New Zealand,76,4,6.71,Auckland,52,16.0,144
23019,Bangladesh,West Indies,39,7,7.09,St Kitts,87,33.0,119
8686,Pakistan,Australia,126,7,7.49,Dubai,19,38.0,151
21509,South Africa,India,3,10,4.5,Nottingham,116,3.0,131
40892,West Indies,Pakistan,72,6,6.26,Mirpur,51,32.0,167
29769,Australia,India,12,10,8.0,Melbourne,111,12.0,132
9783,Australia,South Africa,4,10,24.0,Johannesburg,119,4.0,197
4373,India,England,0,10,0.0,Cardiff,118,0.0,149
1347,West Indies,India,133,2,7.67,Lauderhill,16,36.0,144
48547,New Zealand,Bangladesh,105,6,6.56,Kolkata,24,39.0,146
11869,Australia,England,40,7,6.49,Southampton,83,39.0,158
30920,England,Pakistan,79,6,8.03,Dubai,61,43.0,151
15706,England,Australia,48,8,6.4,Cape Town,75,32.0,136
37123,South Africa,Sri Lanka,50,7,5.0,Colombo,60,31.0,116
4024,Pakistan,New Zealand,44,10,8.8,Auckland,90,44.0,202
35291,Australia,England,39,9,9.75,Southampton,96,39.0,249
5747,Sri Lanka,Bangladesh,24,10,12.0,Colombo,108,24.0,215
34979,India,Sri Lanka,116,8,7.82,Pallekele,31,41.0,156
2388,New Zealand,Australia,43,10,13.58,Auckland,101,43.0,151
12894,Bangladesh,Pakistan,99,7,6.67,Lahore,31,37.0,142
1307,West Indies,India,89,6,7.97,Lauderhill,53,35.0,144
36850,India,Pakistan,43,10,6.62,Bangalore,81,34.0,134
45284,England,Pakistan,128,6,8.08,Dubai,25,50.0,173
28121,Pakistan,South Africa,88,4,5.33,Abu Dhabi,21,30.0,121
9219,Australia,Sri Lanka,31,10,8.09,Adelaide,97,31.0,234
49931,Pakistan,Bangladesh,8,9,3.43,Mirpur,106,8.0,130
7050,South Africa,Sri Lanka,127,8,8.37,Centurion,29,44.0,181
22774,South Africa,England,51,10,10.2,Centurion,90,50.0,242
34143,Pakistan,Bangladesh,11,10,8.25,Mirpur,112,11.0,136
39647,South Africa,New Zealand,83,7,6.38,Chittagong,42,33.0,171
16575,Pakistan,Sri Lanka,38,7,5.3,Johannesburg,77,19.0,190
35561,Pakistan,South Africa,98,9,9.97,Centurion,61,62.0,196
13625,Pakistan,New Zealand,51,5,4.64,Auckland,54,22.0,154
11092,India,New Zealand,4,10,6.0,Hamilton,116,4.0,180
40047,Australia,West Indies,150,5,8.65,Mirpur,16,44.0,179
25944,Sri Lanka,England,4,10,24.0,St Lucia,119,4.0,129
3332,Afghanistan,West Indies,71,2,4.3,St Kitts,21,25.0,111
24041,India,South Africa,95,8,7.5,St Lucia,44,53.0,187
28433,New Zealand,Pakistan,53,9,8.15,Hamilton,81,47.0,186
45613,New Zealand,Sri Lanka,85,10,9.44,Mount Maunganui,66,36.0,183
23922,Pakistan,Bangladesh,118,10,8.74,St Lucia,39,49.0,173
45123,England,Pakistan,65,7,6.72,Dubai,62,44.0,161
629,South Africa,England,14,8,7.64,Southampton,109,14.0,143
30904,England,Pakistan,50,7,6.98,Dubai,77,37.0,151
28329,Pakistan,New Zealand,71,4,6.98,Auckland,59,18.0,144
27066,Sri Lanka,India,15,10,4.29,Nagpur,99,15.0,216
25473,Pakistan,South Africa,14,9,4.0,St Lucia,99,14.0,149
25179,England,South Africa,133,6,8.23,Barbados,23,35.0,169
47633,Sri Lanka,West Indies,44,7,5.87,Bangalore,75,25.0,123
31774,Pakistan,New Zealand,63,9,8.59,Pallekele,76,48.0,178
