,batting_team,bowling_team,current_score,wickets_left,crr,city,balls_left,last_five,target
36862,India,Pakistan,60,10,7.06,Bangalore,69,37.0,134
15191,West Indies,England,61,9,11.09,London,87,60.0,209
26996,Pakistan,New Zealand,96,8,7.78,Dubai,46,38.0,154
15574,West Indies,Bangladesh,33,9,5.66,Johannesburg,85,28.0,165
32000,Bangladesh,Pakistan,26,10,8.67,Pallekele,102,26.0,176
28284,Pakistan,New Zealand,31,10,10.94,Auckland,103,31.0,144
31884,India,England,40,9,8.57,Colombo,92,39.0,171
24769,Australia,India,105,9,9.55,Barbados,54,52.0,185
43569,South Africa,Bangladesh,136,6,7.29,Mirpur,8,40.0,149
28849,Pakistan,South Africa,91,4,6.42,Abu Dhabi,35,28.0,120
24237,South Africa,Afghanistan,46,8,9.52,Barbados,91,46.0,140
5262,India,South Africa,56,9,9.6,Cape Town,85,43.0,173
10976,New Zealand,India,14,10,8.4,Auckland,110,14.0,133
41981,South Africa,West Indies,86,8,10.98,Johannesburg,73,58.0,232
28862,Pakistan,South Africa,95,2,5.88,Abu Dhabi,23,15.0,120
14525,West Indies,New Zealand,90,5,5.45,Auckland,21,30.0,127
34816,West Indies,New Zealand,70,9,8.08,Lauderhill,68,40.0,178
37073,South Africa,Sri Lanka,7,9,3.82,Colombo,109,7.0,116
43930,New Zealand,South Africa,150,5,8.65,Centurion,16,39.0,178
19869,Australia,West Indies,121,5,7.48,London,23,40.0,170
13394,West Indies,New Zealand,143,4,10.46,Auckland,38,53.0,181
46251,Sri Lanka,West Indies,105,8,8.75,Pallekele,48,37.0,216
45909,Pakistan,New Zealand,147,4,8.56,Auckland,17,55.0,172
43047,South Africa,Australia,66,6,4.77,Melbourne,37,20.0,102
47692,Sri Lanka,West Indies,93,4,5.52,Bangalore,19,28.0,123
45725,Sri Lanka,New Zealand,40,7,5.33,Auckland,75,27.0,143
22554,Sri Lanka,India,81,9,7.71,Colombo,57,24.0,172
31953,India,England,119,7,7.44,Colombo,24,36.0,171
25072,New Zealand,Pakistan,122,4,6.37,Barbados,5,28.0,134
20718,Sri Lanka,Pakistan,89,8,7.97,London,53,23.0,151
26380,Bangladesh,New Zealand,47,5,5.13,Hamilton,65,25.0,79
38142,Sri Lanka,Pakistan,52,8,6.37,Dubai,71,34.0,146
26315,Australia,England,131,5,7.08,Barbados,9,50.0,148
17243,India,England,127,10,9.29,Durban,38,50.0,219
30639,Sri Lanka,Pakistan,31,9,8.86,Abu Dhabi,99,31.0,142
11133,India,New Zealand,79,10,10.53,Hamilton,75,59.0,180
24865,Sri Lanka,West Indies,49,9,7.54,Barbados,81,43.0,196
1016,India,England,34,9,7.03,Bangalore,91,33.0,203
39836,Sri Lanka,England,22,9,5.74,Chittagong,97,22.0,190
41061,Sri Lanka,West Indies,146,5,7.62,Mirpur,5,52.0,161
22293,New Zealand,West Indies,84,10,10.29,Hamilton,71,55.0,192
43045,South Africa,Australia,65,6,4.81,Melbourne,39,19.0,102
11823,England,Australia,149,3,8.05,Southampton,9,41.0,163
3266,Afghanistan,West Indies,28,7,4.94,St Kitts,86,26.0,111
12477,Sri Lanka,Pakistan,76,10,9.7,Lahore,73,50.0,166
1292,West Indies,India,71,8,8.04,Lauderhill,67,32.0,144
44714,India,Australia,39,10,10.17,Adelaide,97,39.0,189
41272,India,Sri Lanka,84,8,6.38,Mirpur,41,36.0,131
48651,England,Sri Lanka,90,7,6.75,Delhi,40,39.0,172
21205,England,India,82,8,6.83,London,48,31.0,154
49515,India,Bangladesh,80,7,6.23,Mirpur,43,38.0,167
49557,India,Bangladesh,158,4,8.03,Mirpur,2,61.0,167
40248,South Africa,England,76,10,8.14,Chittagong,64,40.0,197
26451,New Zealand,Australia,9,9,2.57,Wellington,99,9.0,119
14931,Sri Lanka,New Zealand,17,9,7.85,Auckland,107,17.0,116
14985,Sri Lanka,New Zealand,59,4,5.53,Auckland,56,19.0,116
28150,India,South Africa,11,10,9.43,Durban,113,11.0,169
26705,Pakistan,England,41,9,8.48,Cardiff,91,41.0,127
13000,Bangladesh,Pakistan,75,7,6.16,Lahore,47,36.0,137
38744,New Zealand,Bangladesh,59,10,10.73,Mirpur,87,53.0,205
42190,Bangladesh,West Indies,5,10,6.0,St Kitts,115,5.0,32
32495,India,Australia,28,9,7.64,Colombo,98,28.0,141
39974,Australia,West Indies,41,8,7.45,Mirpur,87,37.0,179
22426,India,New Zealand,82,4,8.48,Christchurch,62,40.0,163
18107,India,Australia,53,4,4.08,Melbourne,42,15.0,75
22368,India,New Zealand,0,10,0.0,Christchurch,119,0.0,163
12704,Sri Lanka,Pakistan,30,8,6.43,Lahore,92,30.0,148
31250,India,Afghanistan,20,9,6.32,Colombo,101,20.0,160
7676,Bangladesh,West Indies,122,7,7.96,Lauderhill,28,53.0,172
15801,India,Pakistan,14,8,4.67,Durban,102,14.0,142
27482,England,Pakistan,65,9,6.5,Dubai,60,39.0,149
24215,South Africa,Afghanistan,13,9,11.14,Barbados,113,13.0,140
17059,New Zealand,South Africa,46,10,8.36,Durban,87,45.0,154
23846,Pakistan,Bangladesh,9,10,9.0,St Lucia,114,9.0,173
37484,West Indies,England,68,9,8.0,Barbados,69,38.0,171
47163,Afghanistan,Sri Lanka,45,8,5.19,Kolkata,68,25.0,154
14643,South Africa,Australia,142,9,9.26,Johannesburg,28,53.0,202
2018,New Zealand,England,42,9,8.13,Wellington,89,40.0,197
13488,New Zealand,West Indies,114,8,9.37,Mount Maunganui,47,55.0,239
30003,New Zealand,South Africa,0,10,0.0,Hamilton,119,0.0,174
42262,South Africa,West Indies,82,10,10.93,Durban,75,61.0,196
2293,England,New Zealand,61,8,7.47,Hamilton,71,37.0,195
12087,England,Pakistan,3,9,2.0,Manchester,111,3.0,132
4028,Pakistan,New Zealand,53,10,9.35,Auckland,86,48.0,202
16625,Pakistan,Sri Lanka,134,6,8.74,Johannesburg,28,62.0,190
30180,South Africa,New Zealand,68,7,7.85,Auckland,68,32.0,166
15730,England,Australia,75,6,6.72,Cape Town,53,38.0,136
3586,Sri Lanka,India,31,9,10.94,Colombo,103,31.0,171
48734,Australia,India,60,9,9.73,Chandigarh,83,47.0,161
63,Australia,Sri Lanka,76,9,7.24,Melbourne,57,31.0,169
29634,Sri Lanka,Australia,151,2,7.68,Pallekele,2,28.0,158
45468,England,Pakistan,44,10,8.25,Manchester,88,44.0,136
45387,Sri Lanka,England,84,5,7.0,Southampton,48,25.0,141
12716,Sri Lanka,Pakistan,50,7,7.5,Lahore,80,33.0,148
146,Australia,Sri Lanka,31,10,9.3,Adelaide,100,31.0,188
13460,New Zealand,West Indies,62,8,8.09,Mount Maunganui,74,47.0,239
30736,Sri Lanka,Pakistan,141,2,7.36,Abu Dhabi,5,30.0,142
48413,South Africa,West Indies,85,5,6.14,Nagpur,37,36.0,123
2889,Bangladesh,Sri Lanka,42,10,10.5,Colombo,96,42.0,177
31588,England,Afghanistan,144,7,8.23,Colombo,15,50.0,197
8887,New Zealand,Pakistan,67,8,7.05,Dubai,63,26.0,154
39625,South Africa,New Zealand,59,7,6.21,Chittagong,63,35.0,171
43328,England,South Africa,131,2,6.61,Cape Town,1,35.0,135
19914,India,Bangladesh,26,10,7.8,Nottingham,100,26.0,181
47090,Pakistan,Bangladesh,168,7,9.88,Kolkata,18,58.0,202
8012,New Zealand,India,56,6,6.11,Auckland,65,21.0,159
5980,Sri Lanka,India,150,3,8.18,Colombo,10,31.0,153
32775,West Indies,Sri Lanka,48,8,5.24,Pallekele,65,34.0,130
2277,England,New Zealand,40,8,7.27,Hamilton,87,30.0,195
7061,South Africa,Sri Lanka,140,7,8.48,Centurion,21,42.0,181
1987,New Zealand,England,2,10,12.0,Wellington,119,2.0,197
40246,South Africa,England,74,10,8.22,Chittagong,66,39.0,197
4582,India,New Zealand,125,10,8.82,Delhi,35,50.0,203
47778,Bangladesh,Australia,65,7,6.19,Bangalore,57,38.0,157
5278,India,South Africa,68,9,8.0,Cape Town,69,35.0,173
6852,Sri Lanka,South Africa,15,8,4.74,Cape Town,101,15.0,135
41897,South Africa,West Indies,116,7,8.0,Cape Town,33,41.0,166
